"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","348.95","6.17e-5","5.90e-6","-2.2","-","115.59","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","196.68","4.38e-5","5.30e-6","-2.2","-","127.14","1e-8","0","bin2.log"
"Oct 19 2008","2454758.5","246067201","133.73","3.91e-5","5.40e-6","-2.2","-","127.59","1e-8","0","bin3.log"
"Nov 18 2008","2454788.5","248659201","308.87","6.16e-5","5.70e-6","-2.2","-","122.75","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","353.91","7.27e-5","6.90e-6","-2.2","-","115.45","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","153.78","3.94e-5","5.10e-6","-2.2","-","101.41","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","392.04","8.11e-5","7.10e-6","-2.2","-","79.45","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","631.96","1.11e-4","8.00e-6","-2.2","-","54.32","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","369.43","7.76e-5","6.70e-6","-2.2","-","33.89","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","304","7.21e-5","6.70e-6","-2.2","-","36.52","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","159.5","4.45e-5","5.60e-6","-2.2","-","60.81","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","345.67","7.39e-5","6.60e-6","-2.2","-","88.86","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","266.83","6.19e-5","6.00e-6","-2.2","-","112.37","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","69.45","2.47e-5","4.60e-6","-2.2","-","126.00","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","92.64","3.16e-5","5.20e-6","-2.2","-","128.09","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","72.58","2.95e-5","5.10e-6","-2.2","-","123.74","1e-8","0","bin16.log"
"Dec 13 2009","2455178.499988426","282355201","67.02","2.49e-5","4.50e-6","-2.2","-","117.06","1e-8","0","bin17.log"
"Jan 12 2010","2455208.499988426","284947201","49.13","1.90e-5","4.10e-6","-2.2","-","104.51","1e-8","0","bin18.log"
"Feb 11 2010","2455238.499988426","287539201","85.32","2.60e-5","4.50e-6","-2.2","-","83.68","1e-8","0","bin19.log"
"Mar 13 2010","2455268.499988426","290131201","32.67","1.75e-5","4.10e-6","-2.2","-","58.68","1e-8","0","bin20.log"
"Apr 12 2010","2455298.499988426","292723201","33.08","1.69e-5","4.00e-6","-2.2","-","36.46","1e-8","0","bin21.log"
"May 12 2010","2455328.499988426","295315201","72.59","2.47e-5","4.40e-6","-2.2","-","33.85","1e-8","0","bin22.log"
"Jun 11 2010","2455358.499988426","297907201","34.85","1.44e-5","3.80e-6","-2.2","-","55.96","1e-8","0","bin23.log"
"Jul 11 2010","2455388.499988426","300499201","8","6.54e-6","3.10e-6","-2.2","-","84.11","1e-8","0","bin24.log"
"Aug 10 2010","2455418.499988426","303091201","3.07","< 5.67e-6","-","-","-","108.85","1e-8","0","bin25.log"
"Sep 09 2010","2455448.499988426","305683201","3.09","< 1.04e-5","-","-","-","124.50","1e-8","0","bin26.log"
"Oct 09 2010","2455478.499988426","308275201","3.7","< 1.14e-5","-","-","-","128.39","1e-8","0","bin27.log"
"Nov 08 2010","2455508.499988426","310867201","12.95","9.35e-6","4.11e-6","-2.2","-","124.68","1e-8","0","bin28.log"
"Dec 08 2010","2455538.499988426","313459201","23.99","1.21e-5","3.61e-6","-2.2","-","118.48","1e-8","0","bin29.log"
"Jan 07 2011","2455568.499988426","316051201","41.24","1.86e-5","4.30e-6","-2.2","-","107.34","1e-8","0","bin30.log"
"Feb 06 2011","2455598.499988426","318643201","264.31","5.91e-5","5.70e-6","-2.2","-","87.78","1e-8","0","bin31.log"
"Mar 08 2011","2455628.499988426","321235201","100.07","3.19e-5","5.00e-6","-2.2","-","63.09","1e-8","0","bin32.log"
"Apr 07 2011","2455658.499988426","323827201","13.2","9.87e-6","3.78e-6","-2.2","-","39.61","1e-8","0","bin33.log"
"May 07 2011","2455688.499988426","326419201","7.55","8.12e-6","3.80e-6","-2.2","-","32.02","1e-8","0","bin34.log"
"Jun 06 2011","2455718.499988426","329011201","95.75","3.31e-5","5.00e-6","-2.2","-","51.26","1e-8","0","bin35.log"
"Jul 06 2011","2455748.499988426","331603201","54.71","2.15e-5","4.40e-6","-2.2","-","79.25","1e-8","0","bin36.log"
"Aug 05 2011","2455778.499988426","334195201","242.95","4.51e-5","5.10e-6","-2.2","-","105.04","1e-8","0","bin37.log"
"Sep 04 2011","2455808.499988426","336787201","144.81","4.41e-5","5.60e-6","-2.2","-","122.61","1e-8","0","bin38.log"
"Oct 04 2011","2455838.499988426","339379201","28.06","1.91e-5","4.90e-6","-2.2","-","128.46","1e-8","0","bin39.log"
"Nov 03 2011","2455868.499988426","341971201","112.11","3.12e-5","4.80e-6","-2.2","-","125.57","1e-8","0","bin40.log"
"Dec 03 2011","2455898.499988426","344563201","34.28","1.56e-5","4.00e-6","-2.2","-","119.76","1e-8","0","bin41.log"
"Jan 02 2012","2455928.499988426","347155201","8.29","7.76e-6","3.71e-6","-2.2","-","109.88","1e-8","0","bin42.log"
"Feb 01 2012","2455958.499988426","349747201","0","< 4.53e-6","-","-","-","91.72","1e-8","0","bin43.log"
"Mar 02 2012","2455988.499988426","352339201","4.61","5.99e-6","3.63e-6","-2.2","-","67.53","1e-8","0","bin44.log"
"Apr 01 2012","2456018.499988426","354931201","31.06","1.65e-5","4.20e-6","-2.2","-","43.20","1e-8","0","bin45.log"
"May 01 2012","2456048.499988426","357523201","12.66","9.19e-6","3.82e-6","-2.2","-","31.16","1e-8","0","bin46.log"
"May 31 2012","2456078.499988426","360115201","6.91","5.46e-6","3.01e-6","-2.2","-","46.78","1e-8","0","bin47.log"
"Jun 30 2012","2456108.499988426","362707201","3.84","< 1.10e-5","-","-","-","74.31","1e-8","0","bin48.log"
"Jul 30 2012","2456138.499976852","365299201","103.29","2.57e-5","4.10e-6","-2.2","-","100.98","1e-8","0","bin49.log"
"Aug 29 2012","2456168.499976852","367891201","39.18","2.23e-5","4.80e-6","-2.2","-","120.34","1e-8","0","bin50.log"
"Sep 28 2012","2456198.499976852","370483201","50.5","1.57e-5","3.20e-6","-2.2","-","128.25","1e-8","0","bin51.log"
"Oct 28 2012","2456228.499976852","373075201","130.61","3.33e-5","4.80e-6","-2.2","-","126.40","1e-8","0","bin52.log"
"Nov 27 2012","2456258.499976852","375667201","51.63","1.93e-5","4.10e-6","-2.2","-","120.92","1e-8","0","bin53.log"
"Dec 27 2012","2456288.499976852","378259201","130.31","3.36e-5","4.80e-6","-2.2","-","112.15","1e-8","0","bin54.log"
"Jan 26 2013","2456318.499976852","380851201","432.37","7.42e-5","6.20e-6","-2.2","-","95.47","1e-8","0","bin55.log"
"Feb 25 2013","2456348.499976852","383443201","388.14","7.19e-5","6.20e-6","-2.2","-","71.96","1e-8","0","bin56.log"
"Mar 27 2013","2456378.499976852","386035201","234.87","5.79e-5","6.00e-6","-2.2","-","47.11","1e-8","0","bin57.log"
"Apr 26 2013","2456408.499976852","388627201","71.32","3.05e-5","5.20e-6","-2.2","-","31.33","1e-8","0","bin58.log"
"May 26 2013","2456438.499976852","391219201","72.2","2.26e-5","4.10e-6","-2.2","-","42.62","1e-8","0","bin59.log"
"Jun 25 2013","2456468.499976852","393811201","61.1","2.32e-5","4.80e-6","-2.2","-","69.34","1e-8","0","bin60.log"
"Jul 25 2013","2456498.499976852","396403201","19.59","1.45e-5","4.10e-6","-2.2","-","96.69","1e-8","0","bin61.log"
"Aug 24 2013","2456528.499976852","398995201","38.93","2.13e-5","5.30e-6","-2.2","-","117.71","1e-8","0","bin62.log"
"Sep 23 2013","2456558.499976852","401587201","59.71","2.17e-5","4.30e-6","-2.2","-","127.73","1e-8","0","bin63.log"
"Oct 23 2013","2456588.499976852","404179201","56.35","2.34e-5","4.90e-6","-2.2","-","127.13","1e-8","0","bin64.log"
"Nov 22 2013","2456618.499976852","406771201","21.82","1.41e-5","4.14e-6","-2.2","-","122.01","1e-8","0","bin65.log"
