"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","250.29","7.45e-5","1.15e-5","-1.75","-","70.27","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","294.01","8.20e-5","1.14e-5","-1.75","-","99.12","1e-8","0","bin2.log"
"Oct 19 2008","2454758.5","246067201","526.69","1.35e-4","1.50e-5","-1.75","-","128.23","1e-8","0","bin3.log"
"Nov 18 2008","2454788.5","248659201","236.83","6.17e-5","1.01e-5","-1.75","-","158.62","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","189.68","5.69e-5","1.00e-5","-1.75","-","165.93","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","303.07","8.01e-5","9.90e-6","-1.75","-","134.24","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","221.56","4.76e-5","7.60e-6","-1.75","-","104.99","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","233.82","6.26e-5","9.70e-6","-1.75","-","79.38","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","221.11","6.30e-5","1.00e-5","-1.75","-","55.57","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","220.2","7.11e-5","1.13e-5","-1.75","-","31.70","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","259.76","7.23e-5","1.10e-5","-1.75","-","16.30","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","187.34","6.28e-5","1.05e-5","-1.75","-","36.33","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","435.8","9.31e-5","1.14e-5","-1.75","-","65.19","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","261.15","7.92e-5","1.19e-5","-1.75","-","94.10","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","500.08","1.07e-4","1.23e-5","-1.75","-","123.07","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","269.75","7.13e-5","1.10e-5","-1.75","-","153.24","1e-8","0","bin16.log"
"Dec 13 2009","2455178.499988426","282355201","365.1","9.80e-5","1.28e-5","-1.75","-","170.78","1e-8","0","bin17.log"
"Jan 12 2010","2455208.499988426","284947201","208.35","5.55e-5","9.30e-6","-1.75","-","139.73","1e-8","0","bin18.log"
"Feb 11 2010","2455238.499988426","287539201","135.24","4.92e-5","1.02e-5","-1.75","-","109.81","1e-8","0","bin19.log"
"Mar 13 2010","2455268.499988426","290131201","242.17","5.03e-5","7.90e-6","-1.75","-","83.66","1e-8","0","bin20.log"
"Apr 12 2010","2455298.499988426","292723201","193.73","6.84e-5","1.11e-5","-1.75","-","59.71","1e-8","0","bin21.log"
"May 12 2010","2455328.499988426","295315201","181.02","5.67e-5","9.40e-6","-1.75","-","35.84","1e-8","0","bin22.log"
"Jun 11 2010","2455358.499988426","297907201","50.05","2.13e-5","6.80e-6","-1.75","-","16.61","1e-8","0","bin23.log"
"Jul 11 2010","2455388.499988426","300499201","57.06","2.53e-5","7.00e-6","-1.75","-","31.56","1e-8","0","bin24.log"
"Aug 10 2010","2455418.499988426","303091201","192.62","5.51e-5","8.20e-6","-1.75","-","60.10","1e-8","0","bin25.log"
"Sep 09 2010","2455448.499988426","305683201","82.29","3.32e-5","8.60e-6","-1.75","-","89.07","1e-8","0","bin26.log"
"Oct 09 2010","2455478.499988426","308275201","87.84","3.01e-5","6.60e-6","-1.75","-","117.95","1e-8","0","bin27.log"
"Nov 08 2010","2455508.499988426","310867201","226.93","6.67e-5","1.15e-5","-1.75","-","147.87","1e-8","0","bin28.log"
"Dec 08 2010","2455538.499988426","313459201","505","1.07e-4","1.21e-5","-1.75","-","173.63","1e-8","0","bin29.log"
"Jan 07 2011","2455568.499988426","316051201","237.99","6.53e-5","1.02e-5","-1.75","-","145.29","1e-8","0","bin30.log"
"Feb 06 2011","2455598.499988426","318643201","202.17","5.67e-5","9.50e-6","-1.75","-","114.76","1e-8","0","bin31.log"
