"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 20 2008","2454698.5","240883201","51.02","2.07e-5","4.00e-6","-2.36","-","78.49","1e-8","0","bin1.log"
"Sep 19 2008","2454728.5","243475201","79.62","2.35e-5","3.80e-6","-2.36","-","106.06","1e-8","0","bin2.log"
"Oct 19 2008","2454758.5","246067201","40.32","1.90e-5","4.10e-6","-2.36","-","133.09","1e-8","0","bin3.log"
"Nov 18 2008","2454788.5","248659201","138.59","3.32e-5","4.10e-6","-2.36","-","161.06","1e-8","0","bin4.log"
"Dec 18 2008","2454818.5","251251201","494.11","7.75e-5","5.80e-6","-2.36","-","164.16","1e-8","0","bin5.log"
"Jan 17 2009","2454848.499988426","253843201","173.71","3.59e-5","4.20e-6","-2.36","-","132.39","1e-8","0","bin6.log"
"Feb 16 2009","2454878.499988426","256435201","70.35","2.35e-5","4.00e-6","-2.36","-","101.39","1e-8","0","bin7.log"
"Mar 18 2009","2454908.499988426","259027201","61.68","2.54e-5","4.50e-6","-2.36","-","72.93","1e-8","0","bin8.log"
"Apr 17 2009","2454938.499988426","261619201","129.56","3.21e-5","4.10e-6","-2.36","-","45.91","1e-8","0","bin9.log"
"May 17 2009","2454968.499988426","264211201","995.38","1.36e-4","7.00e-6","-2.36","-","18.86","1e-8","0","bin10.log"
"Jun 16 2009","2454998.499988426","266803201","588.13","8.37e-5","5.60e-6","-2.36","-","14.51","1e-8","0","bin11.log"
"Jul 16 2009","2455028.499988426","269395201","111.91","3.45e-5","4.80e-6","-2.36","-","43.99","1e-8","0","bin12.log"
"Aug 15 2009","2455058.499988426","271987201","67.93","2.40e-5","4.00e-6","-2.36","-","73.51","1e-8","0","bin13.log"
"Sep 14 2009","2455088.499988426","274579201","101.96","3.42e-5","5.30e-6","-2.36","-","101.33","1e-8","0","bin14.log"
"Oct 14 2009","2455118.499988426","277171201","202.53","5.53e-5","6.00e-6","-2.36","-","128.32","1e-8","0","bin15.log"
"Nov 13 2009","2455148.499988426","279763201","153.12","4.49e-5","5.50e-6","-2.36","-","156.13","1e-8","0","bin16.log"
"Dec 13 2009","2455178.499988426","282355201","248.01","6.14e-5","6.20e-6","-2.36","-","168.95","1e-8","0","bin17.log"
"Jan 12 2010","2455208.499988426","284947201","51.84","2.26e-5","4.30e-6","-2.36","-","138.02","1e-8","0","bin18.log"
"Feb 11 2010","2455238.499988426","287539201","157.05","4.70e-5","5.80e-6","-2.36","-","106.62","1e-8","0","bin19.log"
"Mar 13 2010","2455268.499988426","290131201","252.09","5.22e-5","5.20e-6","-2.36","-","77.75","1e-8","0","bin20.log"
"Apr 12 2010","2455298.499988426","292723201","251.1","6.28e-5","6.40e-6","-2.36","-","50.61","1e-8","0","bin21.log"
"May 12 2010","2455328.499988426","295315201","144.05","4.40e-5","5.20e-6","-2.36","-","23.56","1e-8","0","bin22.log"
"Jun 11 2010","2455358.499988426","297907201","87.27","3.44e-5","5.40e-6","-2.36","-","10.26","1e-8","0","bin23.log"
"Jul 11 2010","2455388.499988426","300499201","42.61","2.19e-5","4.70e-6","-2.36","-","38.71","1e-8","0","bin24.log"
"Aug 10 2010","2455418.499988426","303091201","8.54","9.56e-6","4.03e-6","-2.36","-","68.47","1e-8","0","bin25.log"
"Sep 09 2010","2455448.499988426","305683201","2.66","< 1.32e-5","-","-","-","96.57","1e-8","0","bin26.log"
"Oct 09 2010","2455478.499988426","308275201","2.4","< 9.56e-6","-","-","-","123.59","1e-8","0","bin27.log"
"Nov 08 2010","2455508.499988426","310867201","20.02","1.43e-5","4.43e-6","-2.36","-","151.18","1e-8","0","bin28.log"
"Dec 08 2010","2455538.499988426","313459201","5.65","7.34e-6","3.66e-6","-2.36","-","172.33","1e-8","0","bin29.log"
"Jan 07 2011","2455568.499988426","316051201","1.82","< 1.14e-5","-","-","-","143.67","1e-8","0","bin30.log"
