"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","120.56","6.86e-5","1.14e-5","-2.2","-","108.13","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","82.13","5.93e-5","1.15e-5","-2.2","-","112.84","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","43.84","4.49e-5","1.12e-5","-2.2","-","117.01","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","80.83","7.17e-5","1.40e-5","-2.2","-","120.56","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","58.37","6.40e-5","1.41e-5","-2.2","-","123.46","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","54.47","4.96e-5","1.16e-5","-2.2","-","125.68","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","60.86","5.13e-5","1.18e-5","-2.2","-","127.22","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","41.81","3.63e-5","9.70e-6","-2.2","-","128.13","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","34.42","3.64e-5","9.50e-6","-2.2","-","128.46","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","39.59","3.93e-5","1.03e-5","-2.2","-","128.30","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","15.37","2.70e-5","9.80e-6","-2.2","-","127.75","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","13.06","2.48e-5","1.11e-5","-2.2","-","126.90","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","60.7","6.48e-5","1.39e-5","-2.2","-","125.86","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","64.95","6.31e-5","1.26e-5","-2.2","-","124.68","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","63.77","5.50e-5","1.10e-5","-2.2","-","123.41","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","88.75","7.89e-5","1.33e-5","-2.2","-","122.06","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","67.49","4.70e-5","1.00e-5","-2.2","-","120.61","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","52.78","4.27e-5","1.04e-5","-2.2","-","118.99","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","53.68","6.43e-5","1.44e-5","-2.2","-","117.13","1e-8","0","bin19.log"
"Dec 19 2008","2454820","251380801","114.15","1.10e-4","1.88e-5","-2.2","-","114.95","1e-8","0","bin20.log"
"Dec 26 2008","2454827","251985601","129.45","8.89e-5","1.46e-5","-2.2","-","112.37","1e-8","0","bin21.log"
"Jan 02 2009","2454833.999988426","252590401","54.29","5.45e-5","1.21e-5","-2.2","-","109.31","1e-8","0","bin22.log"
"Jan 09 2009","2454840.999988426","253195201","38.72","3.68e-5","1.00e-5","-2.2","-","105.76","1e-8","0","bin23.log"
"Jan 16 2009","2454847.999988426","253800001","28.94","3.33e-5","9.40e-6","-2.2","-","101.72","1e-8","0","bin24.log"
"Jan 23 2009","2454854.999988426","254404801","28.39","3.34e-5","1.00e-5","-2.2","-","97.21","1e-8","0","bin25.log"
"Jan 30 2009","2454861.999988426","255009601","58.73","6.54e-5","1.41e-5","-2.2","-","92.29","1e-8","0","bin26.log"
"Feb 06 2009","2454868.999988426","255614401","87.9","8.04e-5","1.58e-5","-2.2","-","87.02","1e-8","0","bin27.log"
"Feb 13 2009","2454875.999988426","256219201","57.56","6.31e-5","1.53e-5","-2.2","-","81.48","1e-8","0","bin28.log"
"Feb 20 2009","2454882.999988426","256824001","58.25","6.39e-5","1.28e-5","-2.2","-","75.75","1e-8","0","bin29.log"
"Feb 27 2009","2454889.999988426","257428801","157.65","1.00e-4","1.34e-5","-2.2","-","69.88","1e-8","0","bin30.log"
"Mar 06 2009","2454896.999988426","258033601","168.94","1.05e-4","1.44e-5","-2.2","-","63.95","1e-8","0","bin31.log"
"Mar 13 2009","2454903.999988426","258638401","26.99","4.80e-5","1.42e-5","-2.2","-","58.06","1e-8","0","bin32.log"
"Mar 20 2009","2454910.999988426","259243201","263.82","1.51e-4","1.70e-5","-2.2","-","52.28","1e-8","0","bin33.log"
"Mar 27 2009","2454917.999988426","259848001","152.31","1.08e-4","1.58e-5","-2.2","-","46.75","1e-8","0","bin34.log"
"Apr 03 2009","2454924.999988426","260452801","64.99","7.65e-5","1.55e-5","-2.2","-","41.63","1e-8","0","bin35.log"
"Apr 10 2009","2454931.999988426","261057601","73.6","6.70e-5","1.36e-5","-2.2","-","37.17","1e-8","0","bin36.log"
"Apr 17 2009","2454938.999988426","261662401","104.82","8.17e-5","1.35e-5","-2.2","-","33.68","1e-8","0","bin37.log"
"Apr 24 2009","2454945.999988426","262267201","98.5","8.81e-5","1.45e-5","-2.2","-","31.57","1e-8","0","bin38.log"
"May 01 2009","2454952.999988426","262872001","87.69","6.94e-5","1.19e-5","-2.2","-","31.18","1e-8","0","bin39.log"
"May 08 2009","2454959.999988426","263476801","75.22","7.00e-5","1.29e-5","-2.2","-","32.60","1e-8","0","bin40.log"
"May 15 2009","2454966.999988426","264081601","98.05","8.17e-5","1.37e-5","-2.2","-","35.68","1e-8","0","bin41.log"
"May 22 2009","2454973.999988426","264686401","51.66","6.97e-5","1.47e-5","-2.2","-","40.04","1e-8","0","bin42.log"
"May 29 2009","2454980.999988426","265291201","44.09","6.36e-5","1.60e-5","-2.2","-","45.33","1e-8","0","bin43.log"
"Jun 05 2009","2454987.999988426","265896001","37.67","5.35e-5","1.37e-5","-2.2","-","51.24","1e-8","0","bin44.log"
"Jun 12 2009","2454994.999988426","266500801","32.11","4.70e-5","1.24e-5","-2.2","-","57.56","1e-8","0","bin45.log"
"Jun 19 2009","2455001.999988426","267105601","51.94","4.59e-5","1.07e-5","-2.2","-","64.10","1e-8","0","bin46.log"
"Jun 26 2009","2455008.999988426","267710401","37.84","4.01e-5","9.90e-6","-2.2","-","70.73","1e-8","0","bin47.log"
"Jul 03 2009","2455015.999988426","268315201","63.36","5.67e-5","1.18e-5","-2.2","-","77.36","1e-8","0","bin48.log"
"Jul 10 2009","2455022.999988426","268920001","70.23","6.69e-5","1.23e-5","-2.2","-","83.87","1e-8","0","bin49.log"
"Jul 17 2009","2455029.999988426","269524801","78.61","7.59e-5","1.42e-5","-2.2","-","90.19","1e-8","0","bin50.log"
"Jul 24 2009","2455036.999988426","270129601","103.89","8.90e-5","1.54e-5","-2.2","-","96.24","1e-8","0","bin51.log"
"Jul 31 2009","2455043.999988426","270734401","50.43","5.85e-5","1.27e-5","-2.2","-","101.95","1e-8","0","bin52.log"
"Aug 07 2009","2455050.999988426","271339201","133.54","1.05e-4","1.50e-5","-2.2","-","107.24","1e-8","0","bin53.log"
"Aug 14 2009","2455057.999988426","271944001","75.58","5.79e-5","1.12e-5","-2.2","-","112.05","1e-8","0","bin54.log"
