"Date(UTC)","Julian Date","MET","TS","Energy Flux [0.1-100 GeV](MeV cm-2 s-1)","Energy Flux Error","Photon Index","Photon Index Error","Sun Distance","Fit Tolerance","MINUIT Return Code","Analysis Log"
"Aug 08 2008","2454687","239889601","138.65","1.00e-4","1.49e-5","-2.2","-","58.82","1e-8","0","bin1.log"
"Aug 15 2008","2454694","240494401","138.6","9.20e-5","1.37e-5","-2.2","-","52.13","1e-8","0","bin2.log"
"Aug 22 2008","2454701","241099201","333.76","1.69e-4","1.70e-5","-2.2","-","45.40","1e-8","0","bin3.log"
"Aug 29 2008","2454708","241704001","384.34","1.44e-4","1.40e-5","-2.2","-","38.65","1e-8","0","bin4.log"
"Sep 05 2008","2454715","242308801","193.45","1.07e-4","1.36e-5","-2.2","-","31.87","1e-8","0","bin5.log"
"Sep 12 2008","2454722","242913601","188.5","1.13e-4","1.40e-5","-2.2","-","25.07","1e-8","0","bin6.log"
"Sep 19 2008","2454729","243518401","73.51","6.35e-5","1.24e-5","-2.2","-","18.25","1e-8","0","bin7.log"
"Sep 26 2008","2454736","244123201","89.62","8.90e-5","1.49e-5","-2.2","-","11.40","1e-8","0","bin8.log"
"Oct 03 2008","2454743","244728001","40.44","6.50e-5","1.59e-5","-2.2","-","4.52","1e-8","0","bin9.log"
"Oct 10 2008","2454750","245332801","296.3","1.80e-4","1.90e-5","-2.2","-","2.40","1e-8","0","bin10.log"
"Oct 17 2008","2454757","245937601","152.69","9.64e-5","1.29e-5","-2.2","-","9.33","1e-8","0","bin11.log"
"Oct 24 2008","2454764","246542401","221.2","1.17e-4","1.30e-5","-2.2","-","16.30","1e-8","0","bin12.log"
"Oct 31 2008","2454771","247147201","224.68","1.03e-4","1.28e-5","-2.2","-","23.31","1e-8","0","bin13.log"
"Nov 07 2008","2454778","247752001","309.52","1.61e-4","1.60e-5","-2.2","-","30.37","1e-8","0","bin14.log"
"Nov 14 2008","2454785","248356801","730.35","2.99e-4","2.10e-5","-2.2","-","37.48","1e-8","0","bin15.log"
"Nov 21 2008","2454792","248961601","1413.98","5.49e-4","3.00e-5","-2.2","-","44.65","1e-8","0","bin16.log"
"Nov 28 2008","2454799","249566401","2043.95","6.78e-4","3.10e-5","-2.2","-","51.87","1e-8","0","bin17.log"
"Dec 05 2008","2454806","250171201","2203.99","5.81e-4","2.60e-5","-2.2","-","59.14","1e-8","0","bin18.log"
"Dec 12 2008","2454813","250776001","1211.96","3.74e-4","2.10e-5","-2.2","-","66.47","1e-8","0","bin19.log"
